Time (1 offset),Grill,Pork
07/03/26 12:51:55,26.8,
07/03/26 12:52:00,26.8,
07/03/26 12:53:00,52.4,
07/03/26 12:53:05,52.4,
07/03/26 12:54:00,66.8,
07/03/26 12:54:05,66.8,
07/03/26 12:55:05,74.1,
07/03/26 12:55:10,74.1,
07/03/26 12:56:10,77.3,
07/03/26 12:56:15,77.3,
07/03/26 12:57:10,79.0,
07/03/26 12:57:15,79.0,
07/03/26 12:58:15,80.2,
07/03/26 12:58:20,80.2,
07/03/26 12:59:15,80.6,
07/03/26 12:59:20,80.6,
07/03/26 13:00:20,71.6,
07/03/26 13:00:25,71.6,
07/03/26 13:01:20,54.4,
07/03/26 13:01:25,54.4,
07/03/26 13:02:20,44.6,
07/03/26 13:02:25,44.6,
07/03/26 13:03:25,43.4,
07/03/26 13:03:30,43.4,
07/03/26 13:04:30,50.9,
07/03/26 13:04:35,50.9,
07/03/26 13:05:35,58.7,
07/03/26 13:05:40,58.7,
07/03/26 13:06:35,63.0,
07/03/26 13:06:40,63.0,
07/03/26 13:06:45,63.8,
07/03/26 13:06:50,63.8,
07/03/26 13:07:35,57.9,
07/03/26 13:07:40,57.9,
07/03/26 13:08:40,55.9,
07/03/26 13:08:45,55.9,
07/03/26 13:09:40,110.1,
07/03/26 13:09:45,110.1,
07/03/26 13:10:45,117.4,
07/03/26 13:10:50,117.4,
07/03/26 13:11:45,143.7,
07/03/26 13:11:50,143.7,
07/03/26 13:12:50,136.9,
07/03/26 13:12:55,136.9,
07/03/26 13:13:55,129.4,
07/03/26 13:14:00,129.4,
07/03/26 13:15:00,124.9,
07/03/26 13:15:05,124.9,
07/03/26 13:16:00,122.4,
07/03/26 13:16:05,122.4,
07/03/26 13:17:05,121.3,
07/03/26 13:17:10,121.3,
07/03/26 13:18:10,121.7,
07/03/26 13:18:15,121.7,
07/03/26 13:19:15,122.0,
07/03/26 13:19:20,122.0,
07/03/26 13:20:15,122.7,
07/03/26 13:20:20,122.7,
07/03/26 13:21:20,122.9,
07/03/26 13:21:25,122.9,
07/03/26 13:22:20,123.6,
07/03/26 13:22:25,123.6,
07/03/26 13:23:25,124.6,
07/03/26 13:23:30,124.6,
07/03/26 13:24:25,128.0,
07/03/26 13:24:30,128.0,
07/03/26 13:25:25,129.0,
07/03/26 13:25:30,129.0,
07/03/26 13:26:30,129.5,
07/03/26 13:26:35,129.5,
07/03/26 13:27:35,130.3,
07/03/26 13:27:40,130.3,
07/03/26 13:28:40,129.8,
07/03/26 13:28:45,129.8,
07/03/26 13:29:40,129.7,
07/03/26 13:29:45,129.7,
07/03/26 13:30:45,129.1,
07/03/26 13:30:50,129.1,
07/03/26 13:31:45,129.6,
07/03/26 13:31:50,129.6,
07/03/26 13:32:50,129.2,
07/03/26 13:32:55,129.2,
07/03/26 13:33:35,,28.4
07/03/26 13:33:40,,28.4
07/03/26 13:33:50,118.4,
07/03/26 13:33:55,118.4,
07/03/26 13:34:35,,9.4
07/03/26 13:34:40,,9.4
07/03/26 13:34:50,63.8,
07/03/26 13:34:55,63.8,
07/03/26 13:35:35,,9.4
07/03/26 13:35:40,,9.4
07/03/26 13:35:50,61.1,
07/03/26 13:35:55,61.1,
07/03/26 13:36:40,,9.4
07/03/26 13:36:45,,9.4
07/03/26 13:36:55,61.5,
07/03/26 13:37:00,61.5,
07/03/26 13:37:40,,9.5
07/03/26 13:37:45,,9.5
07/03/26 13:37:55,62.3,
07/03/26 13:38:00,62.3,
07/03/26 13:38:40,,9.5
07/03/26 13:38:45,,9.5
07/03/26 13:38:55,63.1,
07/03/26 13:39:00,63.1,
07/03/26 13:39:40,,9.6
07/03/26 13:39:45,,9.6
07/03/26 13:39:55,63.9,
07/03/26 13:40:00,63.9,
07/03/26 13:40:45,,9.6
07/03/26 13:40:50,,9.6
07/03/26 13:41:00,64.5,
07/03/26 13:41:05,64.5,
07/03/26 13:41:45,,9.7
07/03/26 13:41:50,,9.7
07/03/26 13:42:00,61.1,
07/03/26 13:42:05,61.1,
07/03/26 13:42:45,,9.7
07/03/26 13:42:50,,9.7
